feature,importance
symbol_HPGD,0.0
symbol_HPR,0.0
symbol_HSD17B11,0.0
symbol_HSD17B6,0.0
symbol_HSP90AA1,0.0
symbol_HSP90AB1,0.0
symbol_HSPA5,0.0
symbol_HSPE1,0.0
symbol_HSPG2,0.0
symbol_HUWE1,0.0
symbol_IDI1,0.0
symbol_IFI27,0.0
symbol_HCFC1,0.0
symbol_HBB,0.0
symbol_HBA2,0.0
symbol_HAO1,0.0
symbol_GNAS,0.0
symbol_GNE,0.0
symbol_GNMT,0.0
symbol_GOLGA4,0.0
symbol_GOLT1A,0.0
symbol_GPAM,0.0
symbol_GPD1,0.0
symbol_GPR88,0.0
symbol_GPT2,0.0
symbol_GPX2,0.0
symbol_GPX3,0.0
symbol_GRHPR,0.0
symbol_GSDMB,0.0
symbol_GSDMD,0.0
symbol_GSTA1,0.0
symbol_GSTK1,0.0
symbol_GSTO1,0.0
symbol_GSTZ1,0.0
symbol_GTF2I,0.0
symbol_GUCD1,0.0
symbol_H2AJ,0.0
symbol_H6PD,0.0
symbol_HAAO,0.0
symbol_HABP2,0.0
symbol_HADH,0.0
symbol_HADHA,0.0
symbol_HAL,0.0
symbol_IFI6,0.0
symbol_IGF2,0.0
symbol_IGF2R,0.0
symbol_JUP,0.0
symbol_KCNAB1,0.0
symbol_KCNJ10,0.0
symbol_KCNJ2,0.0
symbol_KCNMA1,0.0
curated_contradiction_flag,0.0
symbol_KDM5A,0.0
symbol_KDM8,0.0
symbol_KDR,0.0
symbol_KHSRP,0.0
symbol_KIF21A,0.0
symbol_KIF5B,0.0
symbol_KLKB1,0.0
symbol_KNG1,0.0
symbol_KNOP1,0.0
symbol_KRT18,0.0
symbol_KRT8,0.0
symbol_KTN1,0.0
symbol_LAMP2,0.0
symbol_LAPTM5,0.0
symbol_LARP1B,0.0
symbol_LARP7,0.0
symbol_LCAT,0.0
symbol_LCP1,0.0
symbol_LCP2,0.0
symbol_LDB2,0.0
symbol_LEAP2,0.0
symbol_LECT2,0.0
symbol_KANTR,0.0
symbol_JUN,0.0
symbol_IGFBP2,0.0
symbol_JTB,0.0
symbol_IGFBP4,0.0
symbol_IGFBP5,0.0
symbol_IL10RA,0.0
symbol_IL17RB,0.0
symbol_IL32,0.0
symbol_IL6ST,0.0
symbol_IMPA1,0.0
symbol_INHBA,0.0
symbol_INHBC,0.0
symbol_INHBE,0.0
symbol_INS-IGF2,0.0
symbol_INSIG1,0.0
symbol_INTS6,0.0
symbol_IQGAP1,0.0
symbol_IQGAP2,0.0
symbol_IQSEC1,0.0
symbol_ISG15,0.0
symbol_ITGA1,0.0
symbol_ITGAD,0.0
symbol_ITGB1,0.0
symbol_ITIH1,0.0
symbol_ITIH2,0.0
symbol_ITPR2,0.0
symbol_ITSN2,0.0
symbol_IVD,0.0
symbol_JADE1,0.0
symbol_JAK1,0.0
symbol_GNAO1,0.0
symbol_GLYAT,0.0
symbol_GLUL,0.0
symbol_EEF2,0.0
symbol_EGR1,0.0
symbol_EHD3,0.0
symbol_EI24,0.0
symbol_EIF1,0.0
symbol_EIF1AX,0.0
symbol_EIF2S2,0.0
symbol_EIF3J,0.0
symbol_EIF3K,0.0
symbol_EIF3L,0.0
symbol_EIF4B,0.0
symbol_ENG,0.0
symbol_ENO1,0.0
symbol_ENO3,0.0
symbol_ENPP1,0.0
symbol_EPAS1,0.0
symbol_EPB41L2,0.0
symbol_EPB41L3,0.0
symbol_EPHX2,0.0
symbol_ERICH1,0.0
symbol_ERP29,0.0
symbol_ERRFI1,0.0
symbol_ESF1,0.0
symbol_ETFB,0.0
symbol_ETFDH,0.0
symbol_ETNK2,0.0
symbol_ETS1,0.0
symbol_ETV5,0.0
symbol_EFHD1,0.0
symbol_EEF1D,0.0
symbol_F11R,0.0
symbol_EEF1A2,0.0
symbol_DDX6,0.0
symbol_DECR1,0.0
symbol_DHRS4L2,0.0
symbol_DHRS7,0.0
symbol_DIAPH1,0.0
symbol_DMGDH,0.0
symbol_DNAJA1,0.0
symbol_DNAJC2,0.0
symbol_DNASE1L3,0.0
symbol_DNHD1,0.0
symbol_DNM1,0.0
symbol_DOCK2,0.0
symbol_DSTN,0.0
symbol_DTNA,0.0
symbol_DUSP1,0.0
symbol_DUSP8,0.0
symbol_DYNC2I1,0.0
symbol_DYNLL1,0.0
symbol_DYNLT1,0.0
symbol_DYSF,0.0
symbol_EBP,0.0
symbol_ECE1,0.0
symbol_ECHDC1,0.0
symbol_ECHDC2,0.0
symbol_ECHS1,0.0
symbol_EDC4,0.0
symbol_EDF1,0.0
symbol_F10,0.0
symbol_F2RL2,0.0
symbol_GLUD1,0.0
symbol_FNDC5,0.0
symbol_FOLR2,0.0
symbol_FRG1,0.0
symbol_FRK,0.0
symbol_FSCN1,0.0
symbol_FST,0.0
symbol_FTH1,0.0
