symbol,expr_mean,expr_std,expr_median,expr_max,expr_nonzero_fraction,expr_cv,expr_log1p_mean,expr_log1p_max
ENSG00000109113,79.66666666666667,40.90814332716886,71.0,163,1.0,0.5134913388347555,4.390325437488577,5.099866427824199
ENSG00000109118,240.6315789473684,141.5593807229909,199.0,561,1.0,0.5882826407998311,5.4874141650827815,6.331501849893691
ENSG00000109132,0.017543859649122806,0.13245323570650436,0.0,1,0.017543859649122806,7.549834435270749,0.017391742711869183,0.6931471805599453
ENSG00000109133,862.5087719298245,399.72687652262806,835.0,2042,1.0,0.4634467376236153,6.7610040561104965,7.622174594817622
ENSG00000109158,0.21052631578947367,0.6192403787032473,0.0,3,0.12280701754385964,2.941391798840425,0.19105523676270922,1.3862943611198906
ENSG00000109163,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ENSG00000109171,542.421052631579,269.7511384438058,508.0,1385,1.0,0.49730949257057155,6.297884438662793,7.234177179749849
ENSG00000109180,1915.701754385965,836.6299097508553,1844.0,4251,1.0,0.43672242186729016,7.558361151591877,8.355144739461839
ENSG00000109181,14279.929824561403,6289.863168110965,13781.0,28118,1.0,0.4404687729832141,9.56668034753857,10.244200783414595
ENSG00000109182,31.333333333333332,29.059258011698727,24.0,125,0.9122807017543859,0.9274231280329381,3.4760986898352733,4.836281906951478
ENSG00000109184,428.3157894736842,256.91647877796635,386.0,1292,1.0,0.5998295768962104,6.06219275413414,7.164720378771857
ENSG00000109189,68.50877192982456,40.21998561794583,67.0,189,1.0,0.5870778950634858,4.241452959423946,5.247024072160486
ENSG00000109193,217.19298245614036,187.86340389044176,171.0,933,1.0,0.8649607448913715,5.385379911819191,6.839476438228843
ENSG00000109205,0.21052631578947367,1.1297414701929294,0.0,8,0.05263157894736842,5.366271983416415,0.19105523676270922,2.1972245773362196
ENSG00000109208,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ENSG00000109220,78.54385964912281,49.54041285925729,62.0,246,1.0,0.6307356562380311,4.376308563232924,5.5093883366279774
ENSG00000109255,0.03508771929824561,0.2649064714130087,0.0,2,0.017543859649122806,7.549834435270749,0.0344861760711693,1.0986122886681098
ENSG00000109265,7.2105263157894735,7.017164776728517,5.0,26,0.8245614035087719,0.9731834361886265,2.1054170280830964,3.295836866004329
ENSG00000109270,291.2280701754386,124.18074637166407,287.0,647,1.0,0.4264037676617381,5.677534559642558,6.473890696352274
ENSG00000109272,0.45614035087719296,1.086773984890874,0.0,5,0.21052631578947367,2.382542966876147,0.3757893399620478,1.791759469228055
ENSG00000109320,391.2105263157895,207.7849795927533,333.0,977,1.0,0.5311334067351423,5.9717987525550384,6.885509670034818
ENSG00000109321,0.07017543859649122,0.25771309648570556,0.0,1,0.07017543859649122,3.6724116249213044,0.06782259633876109,0.6931471805599453
ENSG00000109323,269.50877192982455,150.35946485565583,245.0,675,1.0,0.5579019331319088,5.600304526336802,6.516193076042964
ENSG00000109332,2618.59649122807,1192.5179971635216,2555.0,5336,1.0,0.45540349616990977,7.870775573912581,8.582418976333944
ENSG00000109339,27.263157894736842,15.214568107796124,25.0,72,1.0,0.5580633089732169,3.3415591153424242,4.290459441148391
ENSG00000109381,183.57894736842104,101.43417065981075,164.0,482,1.0,0.5525370534794737,5.218077270973738,6.180016653652572
